"China lock down the whole country and keep 1 4 billion Chinese citizens home for 2 month No schools No work They care more about human lives than economy" "{'china': True, 'lock': True, 'country': True, '1': True, '4': True, 'billion': True, 'chinese': True, 'citizen': True, 'home': True, '2': True, 'month': True, 'school': True, 'work': True, 'care': True, 'human': True, 'life': True, 'economy': True}" 0.7641155218109033 0.2358844781890971 positive
"fianzy just said that the reason the country s economy is plummeting is because they aren t selling alcohol And honestly she s onto something" "{'fianzy': True, 'reason': True, 'country': True, 'economy': True, 'plummet': True, 'aren': True, 'selling': True, 'alcohol': True, 'honestly': True}" 0.749975070758371 0.2500249292416294 positive
"No it is a bit more logical than that He needs the economy to restart so that the stock market recovers in time for November There is only one crisis for him his re election Come September and this virus is still ravaging the country what does he have to lose" "{'bit': True, 'logical': True, 'economy': True, 'restart': True, 'stock': True, 'market': True, 'recovers': True, 'time': True, 'november': True, 'crisis': True, 'election': True, 'september': True, 'virus': True, 'ravage': True, 'country': True, 'lose': True}" 0.261452643570513 0.7385473564294849 negative
"realDonaldTrump VP senatemajldr SpeakerPelosi SenateGOP HouseGOP RT TheRealNews Restarting the economy b4 we have the Coronavirus pandemic under control would mean sacrificing elderly and disabled poorpeople The majority of these people would be black and brown" "{'realdonaldtrump': True, 'vp': True, 'senatemajldr': True, 'speakerpelosi': True, 'senategop': True, 'housegop': True, 'rt': True, 'therealnews': True, 'restart': True, 'economy': True, 'b4': True, 'coronavirus': True, 'pandemic': True, 'control': True, 'sacrifice': True, 'elderly': True, 'disabled': True, 'poorpeople': True, 'majority': True, 'people': True, 'black': True, 'brown': True}" 0.20451347942901202 0.7954865205709875 negative
"Yep China become the 2nd largest economy in the world by faking all their numbers Nice smooth brain take" "{'yep': True, 'china': True, '2nd': True, 'large': True, 'economy': True, 'world': True, 'fake': True, 'number': True, 'nice': True, 'smooth': True, 'brain': True}" 0.9740136071284793 0.02598639287151838 positive
"I am sorry that people are sick with not only the Corona Virus but the Flu Cancer Heart Decease and so on but to collapse the best economy in the world is as ridiculous as it gets I ve grown to absolutely hate the FAKE MEDIA as well as the CORRUPT DEMOCRAT ELITE" "{'people': True, 'sick': True, 'corona': True, 'virus': True, 'flu': True, 'cancer': True, 'heart': True, 'decease': True, 'collapse': True, 'economy': True, 'world': True, 'ridiculous': True, 've': True, 'grow': True, 'absolutely': True, 'hate': True, 'fake': True, 'medium': True, 'corrupt': True, 'democrat': True, 'elite': True}" 0.03978742476137732 0.960212575238625 negative
"Sadly what Small Businesses will have to try to recover from is an economy completely destroyed by Government Officials reacting to models that are as accurate as the Democratic 2016 Polls were ER s are empty nurses hours are being cut It s time to end the fear propaganda" "{'sadly': True, 'small': True, 'business': True, 'recover': True, 'economy': True, 'completely': True, 'destroy': True, 'government': True, 'official': True, 'react': True, 'model': True, 'accurate': True, 'democratic': True, '2016': True, 'poll': True, 'er': True, 'empty': True, 'nurse': True, 'hour': True, 'cut': True, 'time': True, 'end': True, 'fear': True, 'propaganda': True}" 0.8156282256594455 0.1843717743405545 positive
"Fauci is full of shit A little man that wants the power to dictate the powers over us and the economy" "{'fauci': True, 'full': True, 'shit': True, 'man': True, 'power': True, 'dictate': True, 'economy': True}" 0.24997507241550607 0.7500249275844936 negative
"I ve been reading McCullough s Truman and learned how difficult it was to bring the economy and society back from the Depression WWII It wasn t easy even with good and clear leadership" "{'ve': True, 'read': True, 'mccullough': True, 'truman': True, 'learn': True, 'difficult': True, 'bring': True, 'economy': True, 'society': True, 'back': True, 'depression': True, 'wwii': True, 'wasn': True, 'easy': True, 'good': True, 'clear': True, 'leadership': True}" 0.9954079436277784 0.004592056372226013 positive
"The situation in Sweden will be interesting to see They are doing a lot less of the social isolation and business shut downs They may have more socialist programs but they realize that it is the economy that fuels those programs" "{'situation': True, 'sweden': True, 'interesting': True, 'lot': True, 'social': True, 'isolation': True, 'business': True, 'shut': True, 'socialist': True, 'program': True, 'realize': True, 'economy': True, 'fuel': True}" 0.20451347942901202 0.7954865205709875 negative
"Happy to do this every IF they open the economy" "{'happy': True, 'open': True, 'economy': True}" 0.8333148670238217 0.16668513297617768 positive
"IMO his base is done with having to constantly defend him Plus the economy was bound to tank when his policies started catching up with him" "{'imo': True, 'base': True, 'constantly': True, 'defend': True, 'economy': True, 'bind': True, 'tank': True, 'policy': True, 'start': True, 'catch': True}" 0.1666482019938326 0.8333517980061673 negative
"btw the virus don t give a rat s ass it just does what it does Sounds like you would sacrifice people to have the economy rolling" "{'btw': True, 'virus': True, 'give': True, 'rat': True, 'sound': True, 'sacrifice': True, 'people': True, 'economy': True, 'roll': True}" 0.20451347942901202 0.7954865205709875 negative
"Cure for coronavirus hit economy could be in renewables Garnaut" "{'cure': True, 'coronavirus': True, 'hit': True, 'economy': True, 'renewables': True, 'garnaut': True}" 0.749975070758371 0.2500249292416294 positive
"At least someone is talking about people recovering Our Gov and the doctor that s on only talk about death and new infected No talk of those recovering and no talk about a plan to help the economy once this is over We call the daily press conference the daily doom and gloom" "{'talk': True, 'people': True, 'recover': True, 'gov': True, 'doctor': True, 'death': True, 'infect': True, 'plan': True, 'economy': True, 'call': True, 'daily': True, 'press': True, 'conference': True, 'doom': True, 'gloom': True}" 0.3892073301377042 0.6107926698622955 neutral
"What a travesty Maybe grandma should die for the economy and little Johnny s little league" "{'travesty': True, 'grandma': True, 'die': True, 'economy': True, 'johnny': True, 'league': True}" 0.06201000731758564 0.937989992682416 negative
"Because hiding in caves doesn t produce herd immunity Reopen the economy ASAP those at risk stay home develop vaccines implement curative therapy lets be done with this ChineseVirus ChinaLiedAndPeopleDied realDonaldTrump dbongino" "{'hiding': True, 'cave': True, 'doesn': True, 'produce': True, 'herd': True, 'immunity': True, 'reopen': True, 'economy': True, 'asap': True, 'risk': True, 'stay': True, 'home': True, 'develop': True, 'vaccine': True, 'implement': True, 'curative': True, 'therapy': True, 'chinesevirus': True, 'chinaliedandpeopledied': True, 'realdonaldtrump': True, 'dbongino': True}" 0.13364061012530412 0.8663593898746949 negative
"Starvation s compassion fix Carona is unanimous verdict of our enlightened world Leadership at all levels talk to GST paying India all of India to do things like Social Distancing which only IT paying India and Family 20 India can afford to do Health 1st then Economy" "{'starvation': True, 'compassion': True, 'fix': True, 'carona': True, 'unanimous': True, 'verdict': True, 'enlightened': True, 'world': True, 'leadership': True, 'level': True, 'talk': True, 'gst': True, 'pay': True, 'india': True, 'thing': True, 'social': True, 'distancing': True, 'family': True, '20': True, 'afford': True, 'health': True, '1st': True, 'economy': True}" 0.9413956379352573 0.05860436206474409 positive
"We the people deserve to know how when what the leaders of this country did or didn t do to protect the population not just the economy" "{'people': True, 'deserve': True, 'leader': True, 'country': True, 'didn': True, 'protect': True, 'population': True, 'economy': True}" 0.9541798899621339 0.04582011003786514 positive
"BULLSEYE Tom Thank you for saying it It s so obvious that that is exactly what happened My question is Did the Democrats know about it and possibly assist the Chinese The 2 that benefit the most from the U S economy sinking is China and the Democrats I followed U" "{'bullseye': True, 'tom': True, 'obvious': True, 'happen': True, 'question': True, 'democrat': True, 'possibly': True, 'assist': True, 'chinese': True, '2': True, 'benefit': True, 'economy': True, 'sinking': True, 'china': True, 'follow': True}" 0.6409131755835503 0.35908682441645073 neutral
"We know We are awake It s ridiculous that people r being purposefully put into a state of panic put under house arrest the economy is crashing Then they ll have the cure Do NOT take the VaX It s a nano chip We r fighting against a New World System brought to us by" "{'awake': True, 'ridiculous': True, 'people': True, 'purposefully': True, 'put': True, 'state': True, 'panic': True, 'house': True, 'arrest': True, 'economy': True, 'crash': True, 'll': True, 'cure': True, 'vax': True, 'nano': True, 'chip': True, 'fight': True, 'world': True, 'system': True, 'bring': True}" 0.2614649207384405 0.7385350792615576 negative
"I pray for all no matter where u are at or what u do U may be correct may not Theres a lot of info that everyone is sorting out and there are many opinions What I do know is we can t keep economy shut down for much longer but thankful I m not the one to make this decision" "{'pray': True, 'matter': True, 'correct': True, 'lot': True, 'info': True, 'sort': True, 'opinion': True, 'economy': True, 'shut': True, 'long': True, 'thankful': True, 'make': True, 'decision': True}" 0.9719946507026987 0.028005349297299552 positive
"You knew this was coming right after Fox News was complaining about how the economy needs to be re opened" "{'fox': True, 'news': True, 'complain': True, 'economy': True, 'open': True}" 0.12498545915069072 0.8750145408493089 negative
"Firstly I am not your friend Secondly I am hoarding nothing Thirdly there s a hell of a lot more shut down than just gyms The economy is down by reasonable estimates 80 Even someone like you should understand that s not sustainable long term" "{'firstly': True, 'friend': True, 'hoard': True, 'thirdly': True, 'hell': True, 'lot': True, 'shut': True, 'gyms': True, 'economy': True, 'reasonable': True, 'estimate': True, '80': True, 'understand': True, 'sustainable': True, 'long': True, 'term': True}" 0.8814416921317192 0.11855830786828207 positive
"JoeBiden Declare DPA Challenge industry for in situ minute response free have had virus tests now Show some leadership about how to get he economy running again It s a winning pitch" "{'joebiden': True, 'declare': True, 'dpa': True, 'challenge': True, 'industry': True, 'situ': True, 'minute': True, 'response': True, 'free': True, 'virus': True, 'test': True, 'show': True, 'leadership': True, 'economy': True, 'run': True, 'winning': True, 'pitch': True}" 0.6409131755835503 0.35908682441645073 neutral
"Kudlow has a theory that a progressive agenda is more of a threat to the economy than the cornoravirusus Yet another projection of the Trump admin as they are proven to be the greater threat to the economy VoteBlue2020" "{'kudlow': True, 'theory': True, 'progressive': True, 'agenda': True, 'threat': True, 'economy': True, 'cornoravirusus': True, 'projection': True, 'trump': True, 'admin': True, 'prove': True, 'great': True, 'voteblue': True, '2020': True}" 0.9992829449517692 0.0007170550482335649 positive
"Happening right NOW Join us on for our FREE weekly fireside chat We ll be discussing how to scale up your tech start up as the economy faces unchartered territories" "{'happen': True, 'join': True, 'free': True, 'weekly': True, 'fireside': True, 'chat': True, 'll': True, 'discuss': True, 'scale': True, 'tech': True, 'start': True, 'economy': True, 'face': True, 'unchartered': True, 'territory': True}" 0.5812918795626453 0.4187081204373559 neutral
