"Our economy is NOT great" "{'economy': True, 'great': True}"
"The only GREEN plan that is going to help America s economy is to Federally legalize and decriminalize recreational marijuana use then tax the hell out of it" "{'green': True, 'plan': True, 'america': True, 'economy': True, 'federally': True, 'legalize': True, 'decriminalize': True, 'recreational': True, 'marijuana': True, 'tax': True, 'hell': True}"
"Trump s 1 5 Trillion Direct Tax Cut failed 4th QUARTER GDP DROPPED TO 2 3 3 GDP prior to the Great Recession of 2008 was the norm for the U S economy It s obvious A Demand Side Tax Cut is needed A Sorely Needed Consumer Tax Cut is Doable" "{'trump': True, '1': True, '5': True, 'trillion': True, 'direct': True, 'tax': True, 'cut': True, 'fail': True, '4th': True, 'quarter': True, 'gdp': True, 'drop': True, '2': True, '3': True, 'prior': True, 'great': True, 'recession': True, '2008': True, 'norm': True, 'economy': True, 'obvious': True, 'demand': True, 'side': True, 'sorely': True, 'needed': True, 'consumer': True, 'doable': True}"
"That s in the works Obviously a tax cut that stimulates the economy in a big way increases tax collections Must cut spending but no one has done this in years When Trump gets re elected he will be free to tackle spending cuts The Dems have no intention to cut spending" "{'work': True, 'tax': True, 'cut': True, 'stimulate': True, 'economy': True, 'big': True, 'increase': True, 'collection': True, 'spending': True, 'year': True, 'trump': True, 'elect': True, 'free': True, 'tackle': True, 'dems': True, 'intention': True}"
"Maintain a strong economy my arse the EU is why Ireland is prospering and FF FG is the reason we largely don t see much of the wealth despite being the 5th richest country in the world If you want to live in delusions do it quietly to yerself somewhere away from sane conversation" "{'maintain': True, 'strong': True, 'economy': True, 'arse': True, 'eu': True, 'ireland': True, 'prosper': True, 'ff': True, 'fg': True, 'reason': True, 'largely': True, 'wealth': True, '5th': True, 'rich': True, 'country': True, 'world': True, 'live': True, 'delusion': True, 'quietly': True, 'yerself': True, 'sane': True, 'conversation': True}"
"W was responsible for a fake Iraqi war and way more dead American soldiers and civilans plus all the long term outcomes from that war The economy was in full clapse like one of Neil s savings and loans" "{'responsible': True, 'fake': True, 'iraqi': True, 'war': True, 'dead': True, 'american': True, 'soldier': True, 'civilans': True, 'long': True, 'term': True, 'outcome': True, 'economy': True, 'full': True, 'clapse': True, 'neil': True, 'saving': True, 'loan': True}"
"I m not going to claim to know the facts but that hasn t stopped all the other keyboard warriors It s legal the hunter has paid those will go back into that local rural economy The loss of one common apex predator will not have dire consequences" "{'claim': True, 'fact': True, 'hasn': True, 'stop': True, 'keyboard': True, 'warrior': True, 'legal': True, 'hunter': True, 'pay': True, 'back': True, 'local': True, 'rural': True, 'economy': True, 'loss': True, 'common': True, 'apex': True, 'predator': True, 'dire': True, 'consequence': True}"
"The darkest of times WTH is wrong with BetoBoop He s clearly never had any real suffering in his life if he thinks this booming economy and low unemployment is a bad thing BettyBeto should go back to eating dirt cause he s not got 1 brain in his ignorant head" "{'darkest': True, 'time': True, 'wth': True, 'wrong': True, 'betoboop': True, 'real': True, 'suffering': True, 'life': True, 'booming': True, 'economy': True, 'low': True, 'unemployment': True, 'bad': True, 'thing': True, 'bettybeto': True, 'back': True, 'eat': True, 'dirt': True, '1': True, 'brain': True, 'ignorant': True, 'head': True}"
"It s really disappointing that even in the urbanist forum I read the members advocate for road widening projects I get that some widening is an inevitable consequence of our growing economy but c mon In a state this broke not even the most enlightened talk differently" "{'disappointing': True, 'urbanist': True, 'forum': True, 'read': True, 'member': True, 'advocate': True, 'road': True, 'widening': True, 'project': True, 'inevitable': True, 'consequence': True, 'grow': True, 'economy': True, 'mon': True, 'state': True, 'break': True, 'enlightened': True, 'talk': True, 'differently': True}"
"Really Whining and crying is strong For 3 years now I love in the debates how they say we got to change Trump s economy sounds logical No I gotta stop As long as I m doing good and family are doing good Life is good" "{'whine': True, 'cry': True, 'strong': True, '3': True, 'year': True, 'love': True, 'debate': True, 'change': True, 'trump': True, 'economy': True, 'sound': True, 'logical': True, 'gotta': True, 'stop': True, 'long': True, 'good': True, 'family': True, 'life': True}"
"Without keeping race alive the dems have no cards to play against the opposition It s all they ve got when you ve got a popular president with a booming economy lowest unemployment numbers in decades and he s making a strong impact on th war on terror what else is there" "{'race': True, 'alive': True, 'dems': True, 'card': True, 'play': True, 'opposition': True, 've': True, 'popular': True, 'president': True, 'boom': True, 'economy': True, 'low': True, 'unemployment': True, 'number': True, 'decade': True, 'make': True, 'strong': True, 'impact': True, 'war': True, 'terror': True}"
